root@large-insatnce:~/cs553-spring2024-hw5-mdinesh6# ./vault -t 16 -o 16 -i 4 -m 16 -s 64 -f data-64GB.bin
NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=193126051840
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 25204809728 bytes
Free Memory: 4265463808 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[53][HASHGEN]: 24.34% completed, ETA 164.9 seconds, 0/512 flushes, 308.9 MB/sec
[54][HASHGEN]: 24.82% completed, ETA 163.7 seconds, 0/512 flushes, 313.7 MB/sec
[55][HASHGEN]: 24.98% completed, ETA 165.6 seconds, 7/512 flushes, 95.7 MB/sec
[56][HASHGEN]: 24.99% completed, ETA 168.8 seconds, 18/512 flushes, 3.7 MB/sec
[57][HASHGEN]: 24.99% completed, ETA 172.5 seconds, 29/512 flushes, 1.6 MB/sec
[58][HASHGEN]: 25.00% completed, ETA 176.3 seconds, 40/512 flushes, 1.2 MB/sec
[59][HASHGEN]: 25.00% completed, ETA 179.7 seconds, 50/512 flushes, 0.9 MB/sec
[61][HASHGEN]: 25.00% completed, ETA 184.3 seconds, 60/512 flushes, 0.6 MB/sec
[65][HASHGEN]: 25.00% completed, ETA 197.0 seconds, 69/512 flushes, 0.2 MB/sec
[67][HASHGEN]: 25.00% completed, ETA 201.0 seconds, 73/512 flushes, 0.4 MB/sec
[68][HASHGEN]: 25.00% completed, ETA 204.3 seconds, 80/512 flushes, 0.9 MB/sec
[69][HASHGEN]: 25.00% completed, ETA 208.5 seconds, 91/512 flushes, 0.7 MB/sec
[70][HASHGEN]: 25.01% completed, ETA 211.5 seconds, 99/512 flushes, 1.0 MB/sec
[72][HASHGEN]: 25.01% completed, ETA 217.0 seconds, 105/512 flushes, 0.5 MB/sec
[74][HASHGEN]: 25.01% completed, ETA 223.3 seconds, 109/512 flushes, 0.5 MB/sec
[77][HASHGEN]: 25.01% completed, ETA 233.4 seconds, 110/512 flushes, 0.1 MB/sec
[79][HASHGEN]: 25.01% completed, ETA 237.3 seconds, 116/512 flushes, 0.8 MB/sec
